begin_datetime_utc,end_datetime_utc,begin_datetime_mpt,end_datetime_mpt,price,volume,price_per_volume,duration,duration_seconds,duration_minutes,rate_per_hour,cost,month
2024-02-14 04:15:00,2024-02-14 06:59:00,2024-02-13 21:15:00,2024-02-13 23:59:00,46.53,10,0.2149151085321298,0 days 02:44:00,9840.0,164.0,0.001016260162601626,465.3,2
2024-02-14 04:13:00,2024-02-14 04:15:00,2024-02-13 21:13:00,2024-02-13 21:15:00,45.74,20,0.4372540445999125,0 days 00:02:00,120.0,2.0,0.16666666666666666,914.8000000000001,2
2024-02-14 04:10:00,2024-02-14 04:13:00,2024-02-13 21:10:00,2024-02-13 21:13:00,43.21,50,1.157139551029854,0 days 00:03:00,180.0,3.0,0.2777777777777778,2160.5,2
2024-02-14 04:00:00,2024-02-14 04:10:00,2024-02-13 21:00:00,2024-02-13 21:10:00,42.63,50,1.172882946281961,0 days 00:10:00,600.0,10.0,0.08333333333333333,2131.5,2
2024-02-14 03:45:00,2024-02-14 04:00:00,2024-02-13 20:45:00,2024-02-13 21:00:00,42.17,50,1.1856770215793218,0 days 00:15:00,900.0,15.0,0.05555555555555556,2108.5,2
2024-02-14 03:03:00,2024-02-14 03:45:00,2024-02-13 20:03:00,2024-02-13 20:45:00,42.65,50,1.1723329425556859,0 days 00:42:00,2520.0,42.0,0.01984126984126984,2132.5,2
2024-02-14 03:00:00,2024-02-14 03:03:00,2024-02-13 20:00:00,2024-02-13 20:03:00,42.17,50,1.1856770215793218,0 days 00:03:00,180.0,3.0,0.2777777777777778,2108.5,2
2024-02-14 02:05:00,2024-02-14 03:00:00,2024-02-13 19:05:00,2024-02-13 20:00:00,46.53,10,0.2149151085321298,0 days 00:55:00,3300.0,55.0,0.0030303030303030303,465.3,2
2024-02-14 02:00:00,2024-02-14 02:05:00,2024-02-13 19:00:00,2024-02-13 19:05:00,42.65,50,1.1723329425556859,0 days 00:05:00,300.0,5.0,0.16666666666666666,2132.5,2
2024-02-14 01:14:00,2024-02-14 02:00:00,2024-02-13 18:14:00,2024-02-13 19:00:00,42.65,50,1.1723329425556859,0 days 00:46:00,2760.0,46.0,0.018115942028985508,2132.5,2
