begin_datetime_utc,end_datetime_utc,begin_datetime_mpt,end_datetime_mpt,system_marginal_price,volume
2024-02-13 04:19,2024-02-13 06:59,2024-02-12 21:19:00,2024-02-12 23:59,90.0,38
2024-02-13 04:10,2024-02-13 04:19,2024-02-12 21:10:00,2024-02-12 21:19,88.04,41
2024-02-13 04:00,2024-02-13 04:10,2024-02-12 21:00:00,2024-02-12 21:10,80.25,15
2024-02-13 03:56,2024-02-13 04:00,2024-02-12 20:56:00,2024-02-12 21:00,88.87,41
2024-02-13 03:40,2024-02-13 03:56,2024-02-12 20:40:00,2024-02-12 20:56,70.0,38
2024-02-13 03:39,2024-02-13 03:40,2024-02-12 20:39:00,2024-02-12 20:40,45.73,60
2024-02-13 03:34,2024-02-13 03:39,2024-02-12 20:34:00,2024-02-12 20:39,43.68,50
2024-02-13 03:33,2024-02-13 03:34,2024-02-12 20:33:00,2024-02-12 20:34,37.37,10
2024-02-13 03:26,2024-02-13 03:33,2024-02-12 20:26:00,2024-02-12 20:33,36.22,42
2024-02-13 03:24,2024-02-13 03:26,2024-02-12 20:24:00,2024-02-12 20:26,34.97,40
2024-02-13 03:00,2024-02-13 03:24,2024-02-12 20:00:00,2024-02-12 20:24,33.42,43
2024-02-13 02:00,2024-02-13 03:00,2024-02-12 19:00:00,2024-02-12 20:00,31.63,55
2024-02-13 01:07,2024-02-13 02:00,2024-02-12 18:07:00,2024-02-12 19:00,31.56,55
2024-02-13 01:05,2024-02-13 01:07,2024-02-12 18:05:00,2024-02-12 18:07,32.11,55
2024-02-13 01:02,2024-02-13 01:05,2024-02-12 18:02:00,2024-02-12 18:05,33.21,43
2024-02-13 01:00,2024-02-13 01:02,2024-02-12 18:00:00,2024-02-12 18:02,34.57,50
2024-02-13 00:57,2024-02-13 01:00,2024-02-12 17:57:00,2024-02-12 18:00,35.03,40
2024-02-13 00:50,2024-02-13 00:57,2024-02-12 17:50:00,2024-02-12 17:57,35.13,41
2024-02-13 00:00,2024-02-13 00:50,2024-02-12 17:00:00,2024-02-12 17:50,36.28,42
2024-02-12 23:57,2024-02-13 00:00,2024-02-12 16:57:00,2024-02-12 17:00,35.81,41
2024-02-12 23:49,2024-02-12 23:57,2024-02-12 16:49:00,2024-02-12 16:57,35.0,38
2024-02-12 23:22,2024-02-12 23:49,2024-02-12 16:22:00,2024-02-12 16:49,33.08,43
2024-02-12 23:07,2024-02-12 23:22,2024-02-12 16:07:00,2024-02-12 16:22,31.43,50
2024-02-12 23:00,2024-02-12 23:07,2024-02-12 16:00:00,2024-02-12 16:07,31.41,35
2024-02-12 22:51,2024-02-12 23:00,2024-02-12 15:51:00,2024-02-12 16:00,31.41,35
2024-02-12 22:45,2024-02-12 22:51,2024-02-12 15:45:00,2024-02-12 15:51,28.95,56
2024-02-12 22:41,2024-02-12 22:45,2024-02-12 15:41:00,2024-02-12 15:45,31.41,35
2024-02-12 22:40,2024-02-12 22:41,2024-02-12 15:40:00,2024-02-12 15:41,32.05,55
2024-02-12 22:33,2024-02-12 22:40,2024-02-12 15:33:00,2024-02-12 15:40,33.23,43
2024-02-12 22:00,2024-02-12 22:33,2024-02-12 15:00:00,2024-02-12 15:33,34.51,50
2024-02-12 21:53,2024-02-12 22:00,2024-02-12 14:53:00,2024-02-12 15:00,34.79,50
2024-02-12 21:51,2024-02-12 21:53,2024-02-12 14:51:00,2024-02-12 14:53,36.08,42
2024-02-12 21:38,2024-02-12 21:51,2024-02-12 14:38:00,2024-02-12 14:51,35.91,41
2024-02-12 21:33,2024-02-12 21:38,2024-02-12 14:33:00,2024-02-12 14:38,37.37,10
2024-02-12 21:00,2024-02-12 21:33,2024-02-12 14:00:00,2024-02-12 14:33,50.35,70
2024-02-12 20:27,2024-02-12 21:00,2024-02-12 13:27:00,2024-02-12 14:00,45.73,60
2024-02-12 20:17,2024-02-12 20:27,2024-02-12 13:17:00,2024-02-12 13:27,43.68,50
2024-02-12 20:00,2024-02-12 20:17,2024-02-12 13:00:00,2024-02-12 13:17,42.0,38
2024-02-12 19:17,2024-02-12 20:00,2024-02-12 12:17:00,2024-02-12 13:00,42.0,38
2024-02-12 19:04,2024-02-12 19:17,2024-02-12 12:04:00,2024-02-12 12:17,43.68,50
2024-02-12 19:00,2024-02-12 19:04,2024-02-12 12:00:00,2024-02-12 12:04,36.73,50
2024-02-12 18:42,2024-02-12 19:00,2024-02-12 11:42:00,2024-02-12 12:00,36.73,50
2024-02-12 18:00,2024-02-12 18:42,2024-02-12 11:00:00,2024-02-12 11:42,35.85,42
2024-02-12 17:51,2024-02-12 18:00,2024-02-12 10:51:00,2024-02-12 11:00,36.03,42
2024-02-12 17:27,2024-02-12 17:51,2024-02-12 10:27:00,2024-02-12 10:51,36.73,50
2024-02-12 17:00,2024-02-12 17:27,2024-02-12 10:00:00,2024-02-12 10:27,37.24,41
2024-02-12 16:33,2024-02-12 17:00,2024-02-12 09:33:00,2024-02-12 10:00,37.2,41
2024-02-12 16:25,2024-02-12 16:33,2024-02-12 09:25:00,2024-02-12 09:33,42.0,38
2024-02-12 16:06,2024-02-12 16:25,2024-02-12 09:06:00,2024-02-12 09:25,45.73,60
2024-02-12 16:00,2024-02-12 16:06,2024-02-12 09:00:00,2024-02-12 09:06,50.16,70
2024-02-12 15:34,2024-02-12 16:00,2024-02-12 08:34:00,2024-02-12 09:00,90.31,50
2024-02-12 15:20,2024-02-12 15:34,2024-02-12 08:20:00,2024-02-12 08:34,110.0,18
2024-02-12 15:00,2024-02-12 15:20,2024-02-12 08:00:00,2024-02-12 08:20,119.68,80
2024-02-12 14:20,2024-02-12 15:00,2024-02-12 07:20:00,2024-02-12 08:00,119.68,80
2024-02-12 14:15,2024-02-12 14:20,2024-02-12 07:15:00,2024-02-12 07:20,90.31,50
2024-02-12 14:00,2024-02-12 14:15,2024-02-12 07:00:00,2024-02-12 07:15,50.57,70
2024-02-12 13:37,2024-02-12 14:00,2024-02-12 06:37:00,2024-02-12 07:00,119.68,80
2024-02-12 13:09,2024-02-12 13:37,2024-02-12 06:09:00,2024-02-12 06:37,110.0,18
2024-02-12 13:00,2024-02-12 13:09,2024-02-12 06:00:00,2024-02-12 06:09,70.0,38
2024-02-12 12:33,2024-02-12 13:00,2024-02-12 05:33:00,2024-02-12 06:00,46.82,60
2024-02-12 12:00,2024-02-12 12:33,2024-02-12 05:00:00,2024-02-12 05:33,42.42,50
2024-02-12 11:00,2024-02-12 12:00,2024-02-12 04:00:00,2024-02-12 05:00,42.42,50
2024-02-12 10:54,2024-02-12 11:00,2024-02-12 03:54:00,2024-02-12 04:00,42.42,50
2024-02-12 10:14,2024-02-12 10:54,2024-02-12 03:14:00,2024-02-12 03:54,46.82,60
2024-02-12 10:00,2024-02-12 10:14,2024-02-12 03:00:00,2024-02-12 03:14,50.16,70
2024-02-12 09:29,2024-02-12 10:00,2024-02-12 02:29:00,2024-02-12 03:00,50.17,70
2024-02-12 09:00,2024-02-12 09:29,2024-02-12 02:00:00,2024-02-12 02:29,46.82,60
2024-02-12 08:50,2024-02-12 09:00,2024-02-12 01:50:00,2024-02-12 02:00,46.82,60
2024-02-12 08:00,2024-02-12 08:50,2024-02-12 01:00:00,2024-02-12 01:50,42.42,50
2024-02-12 07:18,2024-02-12 08:00,2024-02-12 00:18:00,2024-02-12 01:00,46.82,60
2024-02-12 07:00,2024-02-12 07:18,2024-02-12 00:00:00,2024-02-12 00:18,42.42,50
2024-02-12 06:07,2024-02-12 07:00,2024-02-11 23:07:00,2024-02-12 00:00,43.01,50
2024-02-12 06:00,2024-02-12 06:07,2024-02-11 23:00:00,2024-02-11 23:07,46.25,60
2024-02-12 05:54,2024-02-12 06:00,2024-02-11 22:54:00,2024-02-11 23:00,45.81,60
2024-02-12 05:41,2024-02-12 05:54,2024-02-11 22:41:00,2024-02-11 22:54,37.24,41
2024-02-12 05:29,2024-02-12 05:41,2024-02-11 22:29:00,2024-02-11 22:41,40.9,63
2024-02-12 05:00,2024-02-12 05:29,2024-02-11 22:00:00,2024-02-11 22:29,44.32,50
2024-02-12 04:37,2024-02-12 05:00,2024-02-11 21:37:00,2024-02-11 22:00,44.32,50
2024-02-12 04:33,2024-02-12 04:37,2024-02-11 21:33:00,2024-02-11 21:37,50.45,70
2024-02-12 04:31,2024-02-12 04:33,2024-02-11 21:31:00,2024-02-11 21:33,80.25,15
2024-02-12 04:30,2024-02-12 04:31,2024-02-11 21:30:00,2024-02-11 21:31,92.92,50
2024-02-12 04:25,2024-02-12 04:30,2024-02-11 21:25:00,2024-02-11 21:30,100.0,10
2024-02-12 04:00,2024-02-12 04:25,2024-02-11 21:00:00,2024-02-11 21:25,133.63,70
2024-02-12 03:56,2024-02-12 04:00,2024-02-11 20:56:00,2024-02-11 21:00,117.79,49
2024-02-12 03:50,2024-02-12 03:56,2024-02-11 20:50:00,2024-02-11 20:56,87.79,40
2024-02-12 03:47,2024-02-12 03:50,2024-02-11 20:47:00,2024-02-11 20:50,45.81,60
2024-02-12 03:43,2024-02-12 03:47,2024-02-11 20:43:00,2024-02-11 20:47,44.32,50
2024-02-12 03:31,2024-02-12 03:43,2024-02-11 20:31:00,2024-02-11 20:43,40.43,10
2024-02-12 03:11,2024-02-12 03:31,2024-02-11 20:11:00,2024-02-11 20:31,40.9,63
2024-02-12 03:00,2024-02-12 03:11,2024-02-11 20:00:00,2024-02-11 20:11,44.32,50
2024-02-12 02:31,2024-02-12 03:00,2024-02-11 19:31:00,2024-02-11 20:00,44.32,50
2024-02-12 02:02,2024-02-12 02:31,2024-02-11 19:02:00,2024-02-11 19:31,45.81,60
2024-02-12 02:00,2024-02-12 02:02,2024-02-11 19:00:00,2024-02-11 19:02,50.53,70
2024-02-12 01:56,2024-02-12 02:00,2024-02-11 18:56:00,2024-02-11 19:00,50.29,70
2024-02-12 01:35,2024-02-12 01:56,2024-02-11 18:35:00,2024-02-11 18:56,70.0,14
2024-02-12 01:00,2024-02-12 01:35,2024-02-11 18:00:00,2024-02-11 18:35,117.79,40
2024-02-12 00:56,2024-02-12 01:00,2024-02-11 17:56:00,2024-02-11 18:00,117.79,40
