begin_datetime_utc,begin_datetime_mpt,alberta_internal_load,forecast_alberta_internal_load
2020-01-01 07:00,2020-01-01 00:00,9467,9688
2020-01-01 08:00,2020-01-01 01:00,9361,9541
2020-01-01 09:00,2020-01-01 02:00,9286,9410
2020-01-01 10:00,2020-01-01 03:00,9209,9328
2020-01-01 11:00,2020-01-01 04:00,9195,9319
2020-01-01 12:00,2020-01-01 05:00,9224,9363
2020-01-01 13:00,2020-01-01 06:00,9342,9495
2020-01-01 14:00,2020-01-01 07:00,9514,9719
2020-01-01 15:00,2020-01-01 08:00,9648,9831
2020-01-01 16:00,2020-01-01 09:00,9745,9867
2020-01-01 17:00,2020-01-01 10:00,9878,9973
2020-01-01 18:00,2020-01-01 11:00,9989,10060
2020-01-01 19:00,2020-01-01 12:00,10043,10094
2020-01-01 20:00,2020-01-01 13:00,10025,10079
2020-01-01 21:00,2020-01-01 14:00,10032,10064
2020-01-01 22:00,2020-01-01 15:00,10154,10145
2020-01-01 23:00,2020-01-01 16:00,10427,10460
2020-01-02 00:00,2020-01-01 17:00,10697,10840
2020-01-02 01:00,2020-01-01 18:00,10592,10741
2020-01-02 02:00,2020-01-01 19:00,10460,10619
2020-01-02 03:00,2020-01-01 20:00,10274,10476
2020-01-02 04:00,2020-01-01 21:00,10120,10267
2020-01-02 05:00,2020-01-01 22:00,9872,9962
2020-01-02 06:00,2020-01-01 23:00,9619,9684
2020-01-02 07:00,2020-01-02 00:00,9605,9662
2020-01-02 08:00,2020-01-02 01:00,9479,9558
2020-01-02 09:00,2020-01-02 02:00,9397,9500
2020-01-02 10:00,2020-01-02 03:00,9361,9492
2020-01-02 11:00,2020-01-02 04:00,9383,9551
2020-01-02 12:00,2020-01-02 05:00,9522,9748
2020-01-02 13:00,2020-01-02 06:00,9840,10168
2020-01-02 14:00,2020-01-02 07:00,10261,10438
2020-01-02 15:00,2020-01-02 08:00,10500,10584
2020-01-02 16:00,2020-01-02 09:00,10510,10556
2020-01-02 17:00,2020-01-02 10:00,10635,10564
2020-01-02 18:00,2020-01-02 11:00,10686,10562
2020-01-02 19:00,2020-01-02 12:00,10645,10518
2020-01-02 20:00,2020-01-02 13:00,10626,10509
2020-01-02 21:00,2020-01-02 14:00,10596,10502
2020-01-02 22:00,2020-01-02 15:00,10670,10539
2020-01-02 23:00,2020-01-02 16:00,10951,10732
2020-01-03 00:00,2020-01-02 17:00,11180,11063
2020-01-03 01:00,2020-01-02 18:00,11029,10931
2020-01-03 02:00,2020-01-02 19:00,10934,10827
2020-01-03 03:00,2020-01-02 20:00,10814,10686
2020-01-03 04:00,2020-01-02 21:00,10587,10445
2020-01-03 05:00,2020-01-02 22:00,10278,10075
2020-01-03 06:00,2020-01-02 23:00,9935,9737
2020-01-03 07:00,2020-01-03 00:00,9756,9572
2020-01-03 08:00,2020-01-03 01:00,9627,9452
2020-01-03 09:00,2020-01-03 02:00,9549,9382
2020-01-03 10:00,2020-01-03 03:00,9540,9367
2020-01-03 11:00,2020-01-03 04:00,9549,9422
2020-01-03 12:00,2020-01-03 05:00,9702,9605
2020-01-03 13:00,2020-01-03 06:00,9984,10021
2020-01-03 14:00,2020-01-03 07:00,10302,10651
2020-01-03 15:00,2020-01-03 08:00,10581,10794
2020-01-03 16:00,2020-01-03 09:00,10637,10747
2020-01-03 17:00,2020-01-03 10:00,10703,10737
2020-01-03 18:00,2020-01-03 11:00,10733,10714
2020-01-03 19:00,2020-01-03 12:00,10681,10657
2020-01-03 20:00,2020-01-03 13:00,10685,10636
2020-01-03 21:00,2020-01-03 14:00,10694,10610
2020-01-03 22:00,2020-01-03 15:00,10741,10624
2020-01-03 23:00,2020-01-03 16:00,10955,10778
2020-01-04 00:00,2020-01-03 17:00,11093,11092
2020-01-04 01:00,2020-01-03 18:00,10941,10948
2020-01-04 02:00,2020-01-03 19:00,10781,10838
2020-01-04 03:00,2020-01-03 20:00,10625,10700
2020-01-04 04:00,2020-01-03 21:00,10449,10478
2020-01-04 05:00,2020-01-03 22:00,10194,10162
2020-01-04 06:00,2020-01-03 23:00,9965,9873
2020-01-04 07:00,2020-01-04 00:00,9772,9548
2020-01-04 08:00,2020-01-04 01:00,9621,9409
2020-01-04 09:00,2020-01-04 02:00,9505,9321
2020-01-04 10:00,2020-01-04 03:00,9430,9290
2020-01-04 11:00,2020-01-04 04:00,9395,9304
2020-01-04 12:00,2020-01-04 05:00,9432,9372
2020-01-04 13:00,2020-01-04 06:00,9542,9521
2020-01-04 14:00,2020-01-04 07:00,9832,9825
2020-01-04 15:00,2020-01-04 08:00,10109,10044
2020-01-04 16:00,2020-01-04 09:00,10252,10137
2020-01-04 17:00,2020-01-04 10:00,10380,10211
2020-01-04 18:00,2020-01-04 11:00,10426,10228
