begin_datetime_utc,begin_datetime_mpt,alberta_internal_load,forecast_alberta_internal_load
2009-01-01 07:00,2009-01-01 00:00,8060,7934
2009-01-01 08:00,2009-01-01 01:00,7905,7779
2009-01-01 09:00,2009-01-01 02:00,7771,7681
2009-01-01 10:00,2009-01-01 03:00,7703,7656
2009-01-01 11:00,2009-01-01 04:00,7661,7655
2009-01-01 12:00,2009-01-01 05:00,7687,7715
2009-01-01 13:00,2009-01-01 06:00,7724,7886
2009-01-01 14:00,2009-01-01 07:00,7806,7962
2009-01-01 15:00,2009-01-01 08:00,7906,8174
2009-01-01 16:00,2009-01-01 09:00,7959,8269
2009-01-01 17:00,2009-01-01 10:00,8101,8350
2009-01-01 18:00,2009-01-01 11:00,8208,8380
2009-01-01 19:00,2009-01-01 12:00,8277,8347
2009-01-01 20:00,2009-01-01 13:00,8302,8301
2009-01-01 21:00,2009-01-01 14:00,8297,8289
2009-01-01 22:00,2009-01-01 15:00,8393,8346
2009-01-01 23:00,2009-01-01 16:00,8665,8612
2009-01-02 00:00,2009-01-01 17:00,8966,8962
2009-01-02 01:00,2009-01-01 18:00,8863,8867
2009-01-02 02:00,2009-01-01 19:00,8787,8743
2009-01-02 03:00,2009-01-01 20:00,8738,8665
2009-01-02 04:00,2009-01-01 21:00,8628,8488
2009-01-02 05:00,2009-01-01 22:00,8439,8282
2009-01-02 06:00,2009-01-01 23:00,8154,8025
2009-01-02 07:00,2009-01-02 00:00,7933,7810
2009-01-02 08:00,2009-01-02 01:00,7801,7723
2009-01-02 09:00,2009-01-02 02:00,7733,7659
2009-01-02 10:00,2009-01-02 03:00,7742,7644
2009-01-02 11:00,2009-01-02 04:00,7769,7670
2009-01-02 12:00,2009-01-02 05:00,7855,7805
2009-01-02 13:00,2009-01-02 06:00,8035,8153
2009-01-02 14:00,2009-01-02 07:00,8286,8462
2009-01-02 15:00,2009-01-02 08:00,8630,8735
2009-01-02 16:00,2009-01-02 09:00,8758,8810
2009-01-02 17:00,2009-01-02 10:00,8897,8857
2009-01-02 18:00,2009-01-02 11:00,8925,8864
2009-01-02 19:00,2009-01-02 12:00,8931,8821
2009-01-02 20:00,2009-01-02 13:00,8882,8804
2009-01-02 21:00,2009-01-02 14:00,8849,8781
2009-01-02 22:00,2009-01-02 15:00,8872,8804
2009-01-02 23:00,2009-01-02 16:00,9106,8983
2009-01-03 00:00,2009-01-02 17:00,9525,9263
2009-01-03 01:00,2009-01-02 18:00,9435,9095
2009-01-03 02:00,2009-01-02 19:00,9315,8951
2009-01-03 03:00,2009-01-02 20:00,9175,8843
2009-01-03 04:00,2009-01-02 21:00,9014,8637
2009-01-03 05:00,2009-01-02 22:00,8727,8404
2009-01-03 06:00,2009-01-02 23:00,8452,8137
2009-01-03 07:00,2009-01-03 00:00,8210,7925
2009-01-03 08:00,2009-01-03 01:00,8035,7806
2009-01-03 09:00,2009-01-03 02:00,7902,7716
2009-01-03 10:00,2009-01-03 03:00,7867,7672
2009-01-03 11:00,2009-01-03 04:00,7870,7653
2009-01-03 12:00,2009-01-03 05:00,8004,7683
2009-01-03 13:00,2009-01-03 06:00,8078,7793
2009-01-03 14:00,2009-01-03 07:00,8246,8269
2009-01-03 15:00,2009-01-03 08:00,8409,8553
2009-01-03 16:00,2009-01-03 09:00,8498,8677
2009-01-03 17:00,2009-01-03 10:00,8572,8757
2009-01-03 18:00,2009-01-03 11:00,8637,8794
2009-01-03 19:00,2009-01-03 12:00,8602,8765
2009-01-03 20:00,2009-01-03 13:00,8558,8712
2009-01-03 21:00,2009-01-03 14:00,8545,8673
2009-01-03 22:00,2009-01-03 15:00,8600,8706
2009-01-03 23:00,2009-01-03 16:00,8834,8924
2009-01-04 00:00,2009-01-03 17:00,9251,9286
2009-01-04 01:00,2009-01-03 18:00,9199,9161
2009-01-04 02:00,2009-01-03 19:00,9080,8993
2009-01-04 03:00,2009-01-03 20:00,8893,8882
2009-01-04 04:00,2009-01-03 21:00,8775,8763
2009-01-04 05:00,2009-01-03 22:00,8518,8608
2009-01-04 06:00,2009-01-03 23:00,8188,8384
2009-01-04 07:00,2009-01-04 00:00,7955,8098
2009-01-04 08:00,2009-01-04 01:00,7820,7921
2009-01-04 09:00,2009-01-04 02:00,7746,7833
2009-01-04 10:00,2009-01-04 03:00,7702,7791
2009-01-04 11:00,2009-01-04 04:00,7681,7782
2009-01-04 12:00,2009-01-04 05:00,7700,7802
2009-01-04 13:00,2009-01-04 06:00,7762,7877
2009-01-04 14:00,2009-01-04 07:00,7881,7953
2009-01-04 15:00,2009-01-04 08:00,8031,8130
2009-01-04 16:00,2009-01-04 09:00,8106,8222
2009-01-04 17:00,2009-01-04 10:00,8217,8350
2009-01-04 18:00,2009-01-04 11:00,8265,8417
2009-01-04 19:00,2009-01-04 12:00,8290,8441
2009-01-04 20:00,2009-01-04 13:00,8275,8401
2009-01-04 21:00,2009-01-04 14:00,8267,8418
2009-01-04 22:00,2009-01-04 15:00,8287,8475
2009-01-04 23:00,2009-01-04 16:00,8699,8749
2009-01-05 00:00,2009-01-04 17:00,9098,9149
2009-01-05 01:00,2009-01-04 18:00,9008,9066
2009-01-05 02:00,2009-01-04 19:00,8884,8962
2009-01-05 03:00,2009-01-04 20:00,8773,8899
2009-01-05 04:00,2009-01-04 21:00,8576,8770
2009-01-05 05:00,2009-01-04 22:00,8235,8507
2009-01-05 06:00,2009-01-04 23:00,7913,8172
2009-01-05 07:00,2009-01-05 00:00,7662,7895
2009-01-05 08:00,2009-01-05 01:00,7551,7750
2009-01-05 09:00,2009-01-05 02:00,7484,7691
2009-01-05 10:00,2009-01-05 03:00,7482,7682
2009-01-05 11:00,2009-01-05 04:00,7498,7726
2009-01-05 12:00,2009-01-05 05:00,7673,7897
2009-01-05 13:00,2009-01-05 06:00,8048,8296
2009-01-05 14:00,2009-01-05 07:00,8577,8541
2009-01-05 15:00,2009-01-05 08:00,8754,8710
2009-01-05 16:00,2009-01-05 09:00,8688,8730
2009-01-05 17:00,2009-01-05 10:00,8721,8790
2009-01-05 18:00,2009-01-05 11:00,8769,8797
2009-01-05 19:00,2009-01-05 12:00,8753,8761
2009-01-05 20:00,2009-01-05 13:00,8726,8720
2009-01-05 21:00,2009-01-05 14:00,8695,8728
2009-01-05 22:00,2009-01-05 15:00,8691,8773
2009-01-05 23:00,2009-01-05 16:00,9023,9014
2009-01-06 00:00,2009-01-05 17:00,9403,9359
2009-01-06 01:00,2009-01-05 18:00,9252,9257
2009-01-06 02:00,2009-01-05 19:00,9080,9148
2009-01-06 03:00,2009-01-05 20:00,8991,9061
2009-01-06 04:00,2009-01-05 21:00,8776,8843
2009-01-06 05:00,2009-01-05 22:00,8402,8466
2009-01-06 06:00,2009-01-05 23:00,8030,8072
2009-01-06 07:00,2009-01-06 00:00,7790,7835
2009-01-06 08:00,2009-01-06 01:00,7656,7706
2009-01-06 09:00,2009-01-06 02:00,7574,7643
2009-01-06 10:00,2009-01-06 03:00,7568,7630
2009-01-06 11:00,2009-01-06 04:00,7608,7665
