date,price
2023-12-29,2.514
2023-12-29,2.368
2023-12-29,2.304
2023-12-29,2.327
2023-12-29,2.58
2023-12-28,2.41
2023-12-28,2.351
2023-12-28,2.557
2023-12-28,2.55
2023-12-28,2.377
2023-12-27,2.437
2023-12-27,2.63
2023-12-27,2.286
2023-12-27,2.619
2023-12-27,2.267
2023-12-26,2.236
2023-12-26,2.255
2023-12-26,2.5
2023-12-26,2.419
2023-12-26,2.55
2023-12-22,2.54
2023-12-22,2.292
2023-12-22,2.49
2023-12-22,2.61
2023-12-22,2.316
2023-12-21,2.459
2023-12-21,2.572
2023-12-21,2.48
2023-12-21,2.298
2023-12-21,2.274
2023-12-20,2.48
2023-12-20,2.208
2023-12-20,2.447
2023-12-20,2.201
2023-12-20,2.347
2023-12-19,2.366
2023-12-19,2.234
2023-12-19,2.235
2023-12-19,2.492
2023-12-19,2.44
2023-12-18,2.416
2023-12-18,2.309
2023-12-18,2.318
2023-12-18,2.59
2023-12-18,2.503
2023-12-15,2.491
2023-12-15,2.425
2023-12-15,2.333
2023-12-15,2.44
2023-12-15,2.318
2023-12-14,2.282
2023-12-14,2.347
2023-12-14,2.39
2023-12-14,2.392
2023-12-14,2.26
2023-12-13,2.292
2023-12-13,2.33
2023-12-13,2.335
2023-12-13,2.201
2023-12-13,2.215
2023-12-12,2.138
2023-12-12,2.37
2023-12-12,2.135
2023-12-12,2.24
2023-12-12,2.311
2023-12-11,2.226
2023-12-11,2.39
2023-12-11,2.431
2023-12-11,2.35
2023-12-11,2.233
2023-12-08,2.57
2023-12-08,2.581
2023-12-08,2.362
2023-12-08,2.504
2023-12-08,2.377
2023-12-07,2.585
2023-12-07,2.4
2023-12-07,2.391
2023-12-07,2.52
2023-12-07,2.52
2023-12-06,2.383
2023-12-06,2.569
2023-12-06,2.517
2023-12-06,2.37
2023-12-06,2.76
2023-12-05,2.72
2023-12-05,2.508
2023-12-05,2.667
2023-12-05,2.71
2023-12-05,2.533
2023-12-04,2.499
2023-12-04,2.694
2023-12-04,2.527
2023-12-04,2.55
2023-12-04,2.651
