date,price
2000-01-04,2.203
2000-01-05,2.203
2000-01-06,2.231
2000-01-07,2.22
2000-01-10,2.247
2000-01-11,2.283
2000-01-12,2.282
2000-01-13,2.294
2000-01-14,2.342
2000-01-18,2.398
2000-01-19,2.435
2000-01-20,2.561
2000-01-21,2.5
2000-01-24,2.519
2000-01-25,2.589
2000-01-26,2.534
2000-01-27,2.583
2000-01-28,2.575
2000-01-31,2.614
2000-02-01,2.651
2000-02-02,2.693
2000-02-03,2.633
2000-02-04,2.668
2000-02-07,2.576
2000-02-08,2.499
2000-02-09,2.536
2000-02-10,2.593
2000-02-11,2.593
2000-02-14,2.568
2000-02-15,2.626
2000-02-16,2.603
2000-02-17,2.677
2000-02-18,2.649
2000-02-22,2.551
2000-02-23,2.544
2000-02-24,2.559
2000-02-25,2.603
2000-02-28,2.681
2000-02-29,2.749
2000-03-01,2.804
2000-03-02,2.808
2000-03-03,2.823
2000-03-06,2.857
2000-03-07,2.827
2000-03-08,2.751
2000-03-09,2.794
2000-03-10,2.808
2000-03-13,2.865
2000-03-14,2.839
2000-03-15,2.863
2000-03-16,2.872
2000-03-17,2.822
2000-03-20,2.75
2000-03-21,2.78
2000-03-22,2.821
2000-03-23,2.857
2000-03-24,2.859
2000-03-27,2.918
2000-03-28,2.972
2000-03-29,2.92
2000-03-30,2.884
2000-03-31,2.945
2000-04-03,2.917
2000-04-04,2.855
2000-04-05,2.901
2000-04-06,2.975
2000-04-07,2.995
2000-04-10,2.992
2000-04-11,2.976
2000-04-12,3.042
2000-04-13,3.093
2000-04-14,3.097
2000-04-17,3.165
2000-04-18,3.121
2000-04-19,3.088
2000-04-20,3.09
2000-04-24,3.147
2000-04-25,3.139
2000-04-26,3.104
2000-04-27,3.072
2000-04-28,3.143
2000-05-01,3.218
2000-05-02,3.227
2000-05-03,3.157
2000-05-04,3.123
2000-05-05,3.068
2000-05-08,3.176
2000-05-09,3.213
2000-05-10,3.306
2000-05-11,3.373
2000-05-12,3.373
2000-05-15,3.414
2000-05-16,3.473
2000-05-17,3.667
2000-05-18,3.721
2000-05-19,3.822
2000-05-22,3.799
2000-05-23,3.826
2000-05-24,4.044
2000-05-25,4.216
2000-05-26,4.296
2000-05-30,4.34
2000-05-31,4.378
2000-06-01,4.116
2000-06-02,4.055
2000-06-05,4.307
2000-06-06,4.298
2000-06-07,3.984
2000-06-08,4.072
2000-06-09,4.132
2000-06-12,4.193
2000-06-13,4.16
2000-06-14,4.213
2000-06-15,4.4
2000-06-16,4.444
2000-06-19,4.144
2000-06-20,4.086
2000-06-21,4.316
2000-06-22,4.494
2000-06-23,4.413
2000-06-26,4.482
2000-06-27,4.597
2000-06-28,4.386
2000-06-29,4.371
2000-06-30,4.431
2000-07-03,4.36
2000-07-05,4.143
2000-07-06,4.052
2000-07-07,4.208
2000-07-10,4.228
2000-07-11,4.244
2000-07-12,4.095
2000-07-13,4.155
2000-07-14,4.16
2000-07-17,4.039
2000-07-18,4.037
2000-07-19,3.936
2000-07-20,3.875
2000-07-21,3.858
2000-07-24,3.744
2000-07-25,3.679
2000-07-26,3.769
2000-07-27,3.845
2000-07-28,3.922
2000-07-31,3.85
2000-08-01,4.003
2000-08-02,4.233
2000-08-03,4.303
2000-08-04,4.327
2000-08-07,4.384
2000-08-08,4.438
2000-08-09,4.454
2000-08-10,4.475
2000-08-11,4.484
2000-08-14,4.373
2000-08-15,4.277
2000-08-16,4.416
2000-08-17,4.449
2000-08-18,4.484
2000-08-21,4.752
2000-08-22,4.621
2000-08-23,4.65
2000-08-24,4.579
2000-08-25,4.649
2000-08-28,4.707
2000-08-29,4.666
2000-08-30,4.808
2000-08-31,4.828
2000-09-01,4.807
2000-09-05,4.987
2000-09-06,5.105
2000-09-07,5.055
2000-09-08,4.958
2000-09-11,5.087
2000-09-12,5.092
2000-09-13,5.151
2000-09-14,5.277
2000-09-15,5.308
2000-09-18,5.338
2000-09-19,5.434
2000-09-20,5.407
2000-09-21,5.367
2000-09-22,5.258
2000-09-25,5.364
2000-09-26,5.429
2000-09-27,5.437
2000-09-28,5.15
2000-09-29,5.17
2000-10-02,5.317
2000-10-03,5.326
2000-10-04,5.272
2000-10-05,5.165
2000-10-06,5.025
2000-10-09,5.143
2000-10-10,5.148
2000-10-11,5.404
2000-10-12,5.607
2000-10-13,5.523
2000-10-16,5.383
2000-10-17,5.418
2000-10-18,5.28
2000-10-19,5.007
2000-10-20,4.954
2000-10-23,5.057
2000-10-24,4.868
2000-10-25,4.695
2000-10-26,4.68
2000-10-27,4.569
2000-10-30,4.415
2000-10-31,4.393
2000-11-01,4.553
2000-11-02,4.639
2000-11-03,4.79
2000-11-06,4.73
2000-11-07,4.926
2000-11-08,5.155
2000-11-09,5.298
2000-11-10,5.262
2000-11-13,5.48
2000-11-14,5.731
2000-11-15,5.922
2000-11-16,5.618
2000-11-17,5.748
2000-11-20,5.976
2000-11-21,6.135
2000-11-22,6.261
2000-11-27,6.184
2000-11-28,5.927
2000-11-29,5.718
2000-11-30,6.065
2000-12-01,6.359
2000-12-04,6.872
2000-12-05,6.918
2000-12-06,7.657
2000-12-07,7.513
2000-12-08,7.586
2000-12-11,8.522
2000-12-12,7.519
2000-12-13,7.064
2000-12-14,6.914
2000-12-15,7.58
2000-12-18,7.882
2000-12-19,8.143
2000-12-20,8.411
2000-12-21,8.718
2000-12-22,8.538
2000-12-26,8.644
2000-12-27,8.66
2000-12-28,7.652
2000-12-29,8.166
