begin_datetime_utc,begin_datetime_mpt,pool_price,forecast_pool_price,rolling_30day_avg
2020-01-01 07:00,2020-01-01 00:00,30.24,28.79,43.49
2020-01-01 08:00,2020-01-01 01:00,29.43,28.19,43.49
2020-01-01 09:00,2020-01-01 02:00,29.66,31.19,43.49
2020-01-01 10:00,2020-01-01 03:00,28.19,28.19,43.49
2020-01-01 11:00,2020-01-01 04:00,31.17,28.19,43.49
2020-01-01 12:00,2020-01-01 05:00,31.80,33.54,43.49
2020-01-01 13:00,2020-01-01 06:00,28.90,30.08,43.49
2020-01-01 14:00,2020-01-01 07:00,30.50,28.54,43.49
2020-01-01 15:00,2020-01-01 08:00,34.68,34.73,43.48
2020-01-01 16:00,2020-01-01 09:00,34.41,34.38,43.49
2020-01-01 17:00,2020-01-01 10:00,34.84,34.87,43.49
2020-01-01 18:00,2020-01-01 11:00,34.86,34.87,43.49
2020-01-01 19:00,2020-01-01 12:00,34.98,34.87,43.50
2020-01-01 20:00,2020-01-01 13:00,34.96,34.98,43.50
2020-01-01 21:00,2020-01-01 14:00,34.33,34.36,43.51
2020-01-01 22:00,2020-01-01 15:00,35.84,35.74,43.52
2020-01-01 23:00,2020-01-01 16:00,36.58,36.73,43.52
2020-01-02 00:00,2020-01-01 17:00,36.68,36.65,43.52
2020-01-02 01:00,2020-01-01 18:00,36.44,36.46,43.53
2020-01-02 02:00,2020-01-01 19:00,36.15,37.12,43.53
2020-01-02 03:00,2020-01-01 20:00,35.20,35.15,43.54
2020-01-02 04:00,2020-01-01 21:00,34.92,34.9,43.54
2020-01-02 05:00,2020-01-01 22:00,35.14,34.85,43.55
2020-01-02 06:00,2020-01-01 23:00,34.28,34.32,43.56
2020-01-02 07:00,2020-01-02 00:00,29.24,28.19,43.56
2020-01-02 08:00,2020-01-02 01:00,28.19,28.79,43.57
2020-01-02 09:00,2020-01-02 02:00,28.18,28.18,43.57
2020-01-02 10:00,2020-01-02 03:00,28.08,28.18,43.57
2020-01-02 11:00,2020-01-02 04:00,28.03,28.05,43.57
