date,price
2024-03-05,2.095
2024-03-05,1.957
2024-03-05,2.332
2024-03-05,2.58
2024-03-05,1.51
2024-03-04,1.916
2024-03-04,2.073
2024-03-04,2.567
2024-03-04,1.48
2024-03-04,2.312
2024-03-01,2.466
2024-03-01,1.835
2024-03-01,1.47
2024-03-01,2.212
2024-03-01,1.975
2024-02-29,1.67
2024-02-29,2.008
2024-02-29,2.507
2024-02-29,1.86
2024-02-29,2.249
2024-02-28,2.535
2024-02-28,2.052
2024-02-28,1.885
2024-02-28,1.61
2024-02-28,2.285
2024-02-27,1.965
2024-02-27,1.808
2024-02-27,1.615
2024-02-27,2.205
2024-02-27,1.52
2024-02-26,2.129
2024-02-26,1.659
2024-02-26,1.891
2024-02-26,1.65
2024-02-26,1.744
2024-02-23,2.082
2024-02-23,1.52
2024-02-23,1.699
2024-02-23,1.603
2024-02-23,1.847
2024-02-22,1.832
2024-02-22,1.62
2024-02-22,1.732
2024-02-22,1.972
2024-02-22,2.201
2024-02-21,1.773
2024-02-21,2.197
2024-02-21,1.58
2024-02-21,1.863
2024-02-21,1.994
2024-02-20,1.761
2024-02-20,1.5
2024-02-20,1.646
2024-02-20,1.939
2024-02-20,1.576
2024-02-19,1.55
2024-02-16,1.609
2024-02-16,1.995
2024-02-16,1.81
2024-02-16,1.55
2024-02-16,1.68
2024-02-15,1.647
2024-02-15,1.53
2024-02-15,1.581
2024-02-15,1.767
2024-02-15,1.953
2024-02-14,1.958
2024-02-14,1.51
2024-02-14,1.609
2024-02-14,1.665
2024-02-14,1.776
2024-02-13,2.052
2024-02-13,1.689
2024-02-13,1.61
2024-02-13,1.866
2024-02-13,1.742
2024-02-12,2.1
2024-02-12,1.768
2024-02-12,1.8
2024-02-12,1.918
2024-02-12,1.76
2024-02-09,1.885
2024-02-09,1.992
2024-02-09,2.165
2024-02-09,1.847
2024-02-09,1.74
2024-02-08,2.049
2024-02-08,1.74
2024-02-08,1.917
2024-02-08,1.948
2024-02-08,2.212
2024-02-07,2.225
2024-02-07,1.98
2024-02-07,2.069
2024-02-07,1.94
2024-02-07,1.967
2024-02-06,2.007
2024-02-06,2.009
2024-02-06,2.1
2024-02-06,2.25
2024-02-06,2.09
2024-02-05,2.074
2024-02-05,2.12
2024-02-05,2.154
2024-02-05,2.082
2024-02-05,2.315
2024-02-02,2.079
2024-02-02,2.171
2024-02-02,2.086
2024-02-02,2.331
2024-02-02,2.01
2024-02-01,2.15
2024-02-01,2.05
2024-02-01,2.156
2024-02-01,2.322
2024-02-01,2.064
2024-01-31,2.369
2024-01-31,2.209
2024-01-31,2.19
2024-01-31,2.121
2024-01-31,2.1
2024-01-30,2.104
2024-01-30,2.077
2024-01-30,2.26
2024-01-30,2.201
2024-01-30,2.37
2024-01-29,2.188
2024-01-29,2.054
2024-01-29,2.41
2024-01-29,2.49
2024-01-29,2.089
2024-01-26,2.2
2024-01-26,2.301
2024-01-26,2.36
2024-01-26,2.175
2024-01-26,2.712
2024-01-25,2.56
2024-01-25,2.295
2024-01-25,2.201
2024-01-25,2.18
2024-01-25,2.571
2024-01-24,2.641
2024-01-24,2.277
2024-01-24,2.364
2024-01-24,2.262
2024-01-24,2.45
2024-01-23,2.2
2024-01-23,2.45
2024-01-23,2.15
2024-01-23,2.295
2024-01-23,2.167
2024-01-22,2.125
2024-01-22,2.237
2024-01-22,2.144
2024-01-22,2.35
2024-01-22,2.419
2024-01-19,2.353
2024-01-19,2.267
2024-01-19,2.252
2024-01-19,2.7
2024-01-19,2.519
2024-01-18,2.413
2024-01-18,2.88
2024-01-18,2.479
2024-01-18,2.407
2024-01-18,2.697
2024-01-17,2.496
2024-01-17,2.87
2024-01-17,2.86
2024-01-17,2.534
2024-01-17,2.475
2024-01-16,2.453
2024-01-16,2.477
2024-01-16,3.25
2024-01-16,2.9
2024-01-16,2.513
2024-01-15,13.2
2024-01-12,2.631
2024-01-12,13.2
2024-01-12,2.577
2024-01-12,3.313
2024-01-12,2.617
2024-01-11,2.512
2024-01-11,2.58
2024-01-11,2.54
2024-01-11,3.15
2024-01-11,3.097
2024-01-10,2.602
2024-01-10,2.529
2024-01-10,3.039
2024-01-10,2.562
2024-01-10,3.25
2024-01-09,3.25
2024-01-09,2.697
2024-01-09,3.19
2024-01-09,2.701
2024-01-09,2.641
2024-01-08,2.72
2024-01-08,2.552
2024-01-08,2.598
2024-01-08,2.608
2024-01-08,2.98
2024-01-05,2.621
2024-01-05,2.616
2024-01-05,2.569
2024-01-05,2.893
2024-01-05,2.75
2024-01-04,2.559
2024-01-04,2.821
2024-01-04,2.83
2024-01-04,2.512
2024-01-04,2.566
2024-01-03,2.478
2024-01-03,2.415
2024-01-03,2.57
2024-01-03,2.448
2024-01-03,2.668
2024-01-02,2.358
2024-01-02,2.568
2024-01-02,2.424
2024-01-02,2.386
2024-01-02,2.56
2023-12-29,2.514
2023-12-29,2.368
2023-12-29,2.304
2023-12-29,2.327
2023-12-29,2.58
2023-12-28,2.41
2023-12-28,2.351
2023-12-28,2.557
2023-12-28,2.55
2023-12-28,2.377
2023-12-27,2.437
2023-12-27,2.63
2023-12-27,2.286
2023-12-27,2.619
2023-12-27,2.267
2023-12-26,2.236
2023-12-26,2.255
2023-12-26,2.5
2023-12-26,2.419
2023-12-26,2.55
2023-12-22,2.54
2023-12-22,2.292
2023-12-22,2.49
2023-12-22,2.61
2023-12-22,2.316
2023-12-21,2.459
2023-12-21,2.572
2023-12-21,2.48
2023-12-21,2.298
2023-12-21,2.274
2023-12-20,2.48
2023-12-20,2.208
2023-12-20,2.447
2023-12-20,2.201
2023-12-20,2.347
2023-12-19,2.366
2023-12-19,2.234
2023-12-19,2.235
2023-12-19,2.492
2023-12-19,2.44
2023-12-18,2.416
2023-12-18,2.309
2023-12-18,2.318
2023-12-18,2.59
2023-12-18,2.503
2023-12-15,2.491
2023-12-15,2.425
2023-12-15,2.333
2023-12-15,2.44
2023-12-15,2.318
2023-12-14,2.282
2023-12-14,2.347
2023-12-14,2.39
2023-12-14,2.392
2023-12-14,2.26
2023-12-13,2.292
2023-12-13,2.33
2023-12-13,2.335
2023-12-13,2.201
2023-12-13,2.215
2023-12-12,2.138
2023-12-12,2.37
2023-12-12,2.135
2023-12-12,2.24
2023-12-12,2.311
2023-12-11,2.226
2023-12-11,2.39
2023-12-11,2.431
2023-12-11,2.35
2023-12-11,2.233
2023-12-08,2.57
2023-12-08,2.581
2023-12-08,2.362
2023-12-08,2.504
2023-12-08,2.377
2023-12-07,2.585
2023-12-07,2.4
2023-12-07,2.391
2023-12-07,2.52
2023-12-07,2.52
2023-12-06,2.383
2023-12-06,2.569
2023-12-06,2.517
2023-12-06,2.37
2023-12-06,2.76
2023-12-05,2.72
2023-12-05,2.508
2023-12-05,2.667
2023-12-05,2.71
2023-12-05,2.533
2023-12-04,2.499
2023-12-04,2.694
2023-12-04,2.527
2023-12-04,2.55
2023-12-04,2.651
2023-12-01,2.641
2023-12-01,2.814
2023-12-01,2.773
2023-12-01,2.599
2023-12-01,2.63
2023-11-30,2.763
2023-11-30,2.595
2023-11-30,2.802
2023-11-30,2.637
2023-11-30,2.75
2023-11-29,2.769
2023-11-29,2.804
2023-11-29,2.642
2023-11-29,2.7
2023-11-29,2.601
2023-11-28,2.706
2023-11-28,2.798
2023-11-28,2.78
2023-11-28,2.673
2023-11-28,2.837
2023-11-27,2.898
2023-11-27,2.74
2023-11-27,2.946
2023-11-27,2.794
2023-11-27,2.751
2023-11-24,2.804
2023-11-24,2.949
2023-11-24,2.72
2023-11-24,2.999
2023-11-24,2.855
2023-11-23,2.72
2023-11-22,2.897
2023-11-22,2.72
2023-11-22,3.033
2023-11-22,2.983
2023-11-22,2.83
2023-11-21,2.8
2023-11-21,2.63
2023-11-21,2.947
2023-11-21,2.993
2023-11-21,2.846
2023-11-20,3.008
2023-11-20,2.882
2023-11-20,3.05
2023-11-20,2.49
2023-11-20,2.854
2023-11-17,2.924
2023-11-17,2.96
2023-11-17,3.085
2023-11-17,3.131
2023-11-17,2.62
2023-11-16,2.91
2023-11-16,3.019
2023-11-16,3.062
2023-11-16,3.189
2023-11-16,3.239
2023-11-15,3.308
2023-11-15,3.362
2023-11-15,2.88
2023-11-15,3.19
2023-11-15,3.129
2023-11-14,3.079
2023-11-14,3.261
2023-11-14,3.106
2023-11-14,3.316
2023-11-14,2.69
2023-11-13,3.4
2023-11-13,3.197
2023-11-13,3.146
2023-11-13,2.61
2023-11-13,3.343
2023-11-10,3.033
2023-11-10,3.233
2023-11-10,3.284
2023-11-10,3.048
2023-11-10,2.71
2023-11-09,3.289
2023-11-09,2.71
2023-11-09,3.1
2023-11-09,3.333
2023-11-09,3.041
2023-11-08,2.18
2023-11-08,3.389
2023-11-08,3.136
2023-11-08,3.338
2023-11-08,3.106
2023-11-07,3.463
2023-11-07,3.189
2023-11-07,2
2023-11-07,3.14
2023-11-07,3.415
2023-11-06,3.564
2023-11-06,3.264
2023-11-06,2.71
2023-11-06,3.274
2023-11-06,3.513
2023-11-03,3.475
2023-11-03,3.734
2023-11-03,3
2023-11-03,3.515
2023-11-03,3.795
2023-11-02,3.75
2023-11-02,3.689
2023-11-02,3.424
2023-11-02,3.472
2023-11-02,3.12
2023-11-01,3.494
2023-11-01,3.19
2023-11-01,3.69
2023-11-01,3.425
2023-11-01,3.753
2023-10-31,3.813
2023-10-31,3.746
