date,price
1999-12-30,2.3
1999-12-30,2.328
1999-12-30,2.329
1999-12-30,2.328
1999-12-30,2.338
1999-12-29,2.34
1999-12-29,2.377
1999-12-29,2.394
1999-12-29,2.372
1999-12-29,2.39
1999-12-28,2.354
1999-12-28,2.34
1999-12-28,2.32
1999-12-28,2.344
1999-12-28,2.369
1999-12-27,2.293
1999-12-27,2.295
1999-12-27,2.271
1999-12-27,2.36
1999-12-27,2.296
1999-12-23,2.42
1999-12-23,2.38
1999-12-23,2.396
1999-12-23,2.399
1999-12-23,2.388
1999-12-22,2.444
1999-12-22,2.45
1999-12-22,2.395
1999-12-22,2.42
1999-12-22,2.445
1999-12-21,2.522
1999-12-21,2.519
1999-12-21,2.59
1999-12-21,2.477
1999-12-21,2.44
1999-12-20,2.609
1999-12-20,2.629
1999-12-20,2.67
1999-12-20,2.503
1999-12-20,2.554
1999-12-17,2.55
1999-12-17,2.626
1999-12-17,2.655
1999-12-17,2.561
1999-12-17,2.51
1999-12-16,2.634
1999-12-16,2.52
1999-12-16,2.577
1999-12-16,2.52
1999-12-16,2.636
1999-12-15,2.442
1999-12-15,2.54
1999-12-15,2.486
1999-12-15,2.479
1999-12-15,2.513
1999-12-14,2.492
1999-12-14,2.585
1999-12-14,2.539
1999-12-14,2.589
1999-12-14,2.49
1999-12-13,2.442
1999-12-13,2.477
1999-12-13,2.35
1999-12-13,2.515
1999-12-13,2.509
1999-12-10,2.27
1999-12-10,2.446
1999-12-10,2.414
1999-12-10,2.459
1999-12-10,2.439
1999-12-09,2.305
1999-12-09,2.285
1999-12-09,2.322
1999-12-09,2.2
1999-12-09,2.32
1999-12-08,2.23
1999-12-08,2.288
1999-12-08,2.31
1999-12-08,2.316
1999-12-08,2.299
1999-12-07,2.16
1999-12-07,2.28
1999-12-07,2.271
1999-12-07,2.293
1999-12-07,2.288
1999-12-06,2.24
1999-12-06,2.19
1999-12-06,2.242
1999-12-06,2.242
1999-12-06,2.224
1999-12-03,2.305
1999-12-03,2.335
1999-12-03,2.331
1999-12-03,2.16
1999-12-03,2.283
1999-12-02,2.461
1999-12-02,2.18
1999-12-02,2.438
1999-12-02,2.34
1999-12-02,2.383
1999-12-01,2.393
1999-12-01,2.35
1999-12-01,2.392
1999-12-01,2.318
1999-12-01,2.17
1999-11-30,2.304
1999-11-30,2.319
1999-11-30,2.279
1999-11-30,2.22
1999-11-30,2.294
1999-11-29,2.325
1999-11-29,2.25
1999-11-29,2.352
1999-11-29,2.308
1999-11-29,2.36
1999-11-24,2.335
1999-11-24,2.302
1999-11-24,1.96
1999-11-24,2.12
1999-11-24,2.33
1999-11-23,2.337
1999-11-23,2.189
1999-11-23,2.372
1999-11-23,2.375
1999-11-23,1.99
1999-11-22,2.389
1999-11-22,2.197
1999-11-22,2.347
1999-11-22,2.372
1999-11-22,2.05
1999-11-19,2.539
1999-11-19,2.434
1999-11-19,2.16
1999-11-19,2.477
1999-11-19,2.564
1999-11-18,2.606
1999-11-18,2.573
1999-11-18,2.505
1999-11-18,2.496
1999-11-18,2.22
1999-11-17,2.5
1999-11-17,2.592
1999-11-17,2.456
1999-11-17,2.24
1999-11-17,2.56
1999-11-16,2.567
1999-11-16,2.596
1999-11-16,2.23
1999-11-16,2.505
1999-11-16,2.451
1999-11-15,2.565
1999-11-15,2.33
1999-11-15,2.524
1999-11-15,2.64
1999-11-15,2.681
1999-11-12,2.725
1999-11-12,2.16
1999-11-12,2.635
1999-11-12,2.649
1999-11-12,2.788
1999-11-11,2.614
1999-11-11,2.522
1999-11-11,2.544
1999-11-11,2.38
1999-11-11,2.669
1999-11-10,2.58
1999-11-10,2.673
1999-11-10,2.657
1999-11-10,2.763
1999-11-10,2.39
1999-11-09,2.44
1999-11-09,2.559
1999-11-09,2.735
1999-11-09,2.643
1999-11-09,2.647
1999-11-08,2.55
