begin_datetime_utc,begin_datetime_mpt,pool_price,forecast_pool_price,rolling_30day_avg
2001-01-01 07:00,2001-01-01 00:00,141.40,121.5,185.86
2001-01-01 08:00,2001-01-01 01:00,141.41,121.5,185.92
2001-01-01 09:00,2001-01-01 02:00,141.40,120.0,185.97
2001-01-01 10:00,2001-01-01 03:00,141.37,94.32,186.02
2001-01-01 11:00,2001-01-01 04:00,141.36,120.0,186.07
2001-01-01 12:00,2001-01-01 05:00,141.36,120.0,186.12
2001-01-01 13:00,2001-01-01 06:00,141.37,121.5,186.18
2001-01-01 14:00,2001-01-01 07:00,141.37,145.07,186.22
2001-01-01 15:00,2001-01-01 08:00,141.37,147.99,186.22
2001-01-01 16:00,2001-01-01 09:00,141.36,148.23,186.22
2001-01-01 17:00,2001-01-01 10:00,141.36,175.12,186.22
2001-01-01 18:00,2001-01-01 11:00,141.40,177.88,185.87
2001-01-01 19:00,2001-01-01 12:00,141.40,168.44,185.82
2001-01-01 20:00,2001-01-01 13:00,141.40,175.12,185.84
2001-01-01 21:00,2001-01-01 14:00,141.40,174.22,185.87
2001-01-01 22:00,2001-01-01 15:00,141.40,175.12,185.89
2001-01-01 23:00,2001-01-01 16:00,141.41,266.23,185.89
2001-01-02 00:00,2001-01-01 17:00,141.42,346.68,185.81
2001-01-02 01:00,2001-01-01 18:00,141.42,346.68,185.76
2001-01-02 02:00,2001-01-01 19:00,141.42,346.68,185.71
2001-01-02 03:00,2001-01-01 20:00,141.42,346.68,185.66
2001-01-02 04:00,2001-01-01 21:00,141.42,244.22,185.67
2001-01-02 05:00,2001-01-01 22:00,141.42,148.11,185.68
2001-01-02 06:00,2001-01-01 23:00,141.41,144.93,185.64
2001-01-02 07:00,2001-01-02 00:00,141.39,235.0,185.67
2001-01-02 08:00,2001-01-02 01:00,141.32,175.0,185.73
2001-01-02 09:00,2001-01-02 02:00,124.09,141.41,185.76
2001-01-02 10:00,2001-01-02 03:00,69.01,141.41,185.72
2001-01-02 11:00,2001-01-02 04:00,93.47,141.41,185.69
2001-01-02 12:00,2001-01-02 05:00,132.95,141.42,185.72
2001-01-02 13:00,2001-01-02 06:00,166.53,141.42,185.76
2001-01-02 14:00,2001-01-02 07:00,204.32,221.23,185.81
2001-01-02 15:00,2001-01-02 08:00,305.19,300.0,186.00
2001-01-02 16:00,2001-01-02 09:00,185.20,275.0,186.04
2001-01-02 17:00,2001-01-02 10:00,207.28,372.0,186.07
2001-01-02 18:00,2001-01-02 11:00,223.14,422.0,186.13
2001-01-02 19:00,2001-01-02 12:00,201.71,432.22,186.17
2001-01-02 20:00,2001-01-02 13:00,201.71,391.27,186.20
2001-01-02 21:00,2001-01-02 14:00,200.34,324.22,186.24
2001-01-02 22:00,2001-01-02 15:00,179.58,324.22,186.26
2001-01-02 23:00,2001-01-02 16:00,250.55,500.0,185.95
2001-01-03 00:00,2001-01-02 17:00,188.06,688.23,185.61
2001-01-03 01:00,2001-01-02 18:00,201.71,688.23,185.20
2001-01-03 02:00,2001-01-02 19:00,208.37,688.23,184.80
2001-01-03 03:00,2001-01-02 20:00,235.00,548.22,184.50
2001-01-03 04:00,2001-01-02 21:00,232.97,497.0,184.23
2001-01-03 05:00,2001-01-02 22:00,181.86,300.0,184.31
2001-01-03 06:00,2001-01-02 23:00,141.40,200.0,184.23
2001-01-03 07:00,2001-01-03 00:00,110.07,431.99,184.23
2001-01-03 08:00,2001-01-03 01:00,95.41,285.0,184.22
2001-01-03 09:00,2001-01-03 02:00,95.41,201.0,184.21
2001-01-03 10:00,2001-01-03 03:00,95.37,178.0,184.21
2001-01-03 11:00,2001-01-03 04:00,95.37,174.22,184.20
2001-01-03 12:00,2001-01-03 05:00,96.13,174.22,184.18
2001-01-03 13:00,2001-01-03 06:00,146.72,216.44,184.22
2001-01-03 14:00,2001-01-03 07:00,128.44,346.68,184.21
2001-01-03 15:00,2001-01-03 08:00,152.81,346.68,184.23
2001-01-03 16:00,2001-01-03 09:00,192.42,346.68,184.33
2001-01-03 17:00,2001-01-03 10:00,192.42,346.68,184.35
2001-01-03 18:00,2001-01-03 11:00,192.42,346.68,184.35
2001-01-03 19:00,2001-01-03 12:00,188.57,346.68,184.34
2001-01-03 20:00,2001-01-03 13:00,184.71,346.68,184.32
2001-01-03 21:00,2001-01-03 14:00,184.71,346.68,184.31
2001-01-03 22:00,2001-01-03 15:00,184.71,346.68,184.30
2001-01-03 23:00,2001-01-03 16:00,184.71,450.0,184.03
2001-01-04 00:00,2001-01-03 17:00,206.43,550.0,183.67
2001-01-04 01:00,2001-01-03 18:00,188.81,492.22,183.37
2001-01-04 02:00,2001-01-03 19:00,184.71,492.22,183.36
