date,localName,name,countryCode,fixed,global,counties,launchYear,types
2023-01-01,New Year's Day,New Year's Day,CA,True,True,,,['Public']
2023-02-20,Louis Riel Day,Louis Riel Day,CA,False,False,['CA-MB'],,['Public']
2023-02-20,Islander Day,Islander Day,CA,False,False,['CA-PE'],,['Public']
2023-02-20,Heritage Day,Heritage Day,CA,False,False,['CA-NS'],,['Public']
2023-02-20,Family Day,Family Day,CA,False,False,"['CA-AB', 'CA-BC', 'CA-NB', 'CA-ON', 'CA-SK']",,['Public']
2023-03-17,Saint Patrick's Day,Saint Patrick's Day,CA,True,False,['CA-NL'],,['Public']
2023-04-07,Good Friday,Good Friday,CA,False,True,,,['Public']
2023-04-10,Easter Monday,Easter Monday,CA,False,False,"['CA-AB', 'CA-PE']",,['Public']
2023-04-23,Saint George's Day,Saint George's Day,CA,True,False,['CA-NL'],,['Public']
2023-05-22,National Patriots' Day,National Patriots' Day,CA,False,False,['CA-QC'],,['Public']
2023-05-22,Victoria Day,Victoria Day,CA,False,True,,,['Public']
2023-06-21,National Aboriginal Day,National Aboriginal Day,CA,True,False,['CA-NT'],,['Public']
2023-06-24,Discovery Day,Discovery Day,CA,True,False,['CA-NL'],,['Public']
2023-06-24,Fête nationale du Québec,National Holiday,CA,True,False,['CA-QC'],,['Public']
2023-07-01,Canada Day,Canada Day,CA,False,True,,,['Public']
2023-07-12,Orangemen's Day,Orangemen's Day,CA,True,False,['CA-NL'],,['Public']
2023-08-07,Civic Holiday,Civic Holiday,CA,False,False,"['CA-MB', 'CA-NL', 'CA-NT', 'CA-NU', 'CA-ON']",,['Public']
2023-08-07,British Columbia Day,British Columbia Day,CA,False,False,['CA-BC'],,['Public']
2023-08-07,Heritage Day,Heritage Day,CA,False,False,"['CA-AB', 'CA-YT']",,['Public']
2023-08-07,New Brunswick Day,New Brunswick Day,CA,False,False,['CA-NB'],,['Public']
2023-08-07,Natal Day,Natal Day,CA,False,False,['CA-NS'],,['Public']
2023-08-07,Saskatchewan Day,Saskatchewan Day,CA,False,False,['CA-SK'],,['Public']
2023-08-21,Gold Cup Parade Day,Gold Cup Parade Day,CA,False,False,['CA-PE'],,['Public']
2023-08-21,Discovery Day,Discovery Day,CA,False,False,['CA-YT'],,['Public']
2023-09-04,Labour Day,Labour Day,CA,False,True,,,['Public']
2023-09-30,National Day for Truth and Reconciliation,National Day for Truth and Reconciliation,CA,True,True,,,['Public']
2023-10-09,Thanksgiving,Thanksgiving,CA,False,True,,,['Public']
2023-11-11,Armistice Day,Armistice Day,CA,True,False,['CA-NL'],,['Public']
2023-11-11,Remembrance Day,Remembrance Day,CA,True,False,"['CA-AB', 'CA-BC', 'CA-NB', 'CA-NT', 'CA-NS', 'CA-NU', 'CA-PE', 'CA-SK', 'CA-YT']",,['Public']
2023-12-25,Christmas Day,Christmas Day,CA,True,True,,,['Public']
2023-12-26,Boxing Day,St. Stephen's Day,CA,True,False,"['CA-AB', 'CA-NB', 'CA-NS', 'CA-ON', 'CA-PE']",,['Public']
